7->6,30,30,30.0,30.0
7->4,30,30,30.0,30.0
7->5,30,30,30.0,30.0
5->8,30,30,30.0,30.0
5->9,30,30,30.0,30.0
7->0,30,30,30.0,30.0
7->1,31,31,31.0,31.0
5->4,30,30,30.0,30.0
6->4,30,30,30.0,30.0
5->6,31,31,31.0,31.0
5->7,30,30,30.0,30.0
5->0,30,30,30.0,30.0
5->1,30,30,30.0,30.0
5->2,30,30,30.0,30.0
5->3,30,30,30.0,30.0
2->9,30,30,30.0,30.0
2->8,31,31,31.0,31.0
3->0,30,30,30.0,30.0
3->1,28,203,30.0,29.0
3->6,30,30,30.0,30.0
3->7,30,30,30.0,30.0
3->4,30,30,30.0,30.0
3->5,30,30,30.0,30.0
2->1,29,29,29.0,29.0
2->0,29,30,29.016666666666666,29.0
2->3,30,30,30.0,30.0
3->9,30,30,30.0,30.0
2->5,30,30,30.0,30.0
2->4,30,30,30.0,30.0
2->7,30,30,30.0,30.0
2->6,29,146,30.0,29.0
8->7,30,30,30.0,30.0
8->6,30,30,30.0,30.0
8->5,29,88,30.0,30.0
8->4,30,30,30.0,30.0
8->3,30,30,30.0,30.0
8->2,30,30,30.0,30.0
6->9,31,31,31.0,31.0
8->0,30,30,30.0,30.0
9->0,29,29,29.0,29.0
9->2,31,31,31.0,31.0
8->9,31,31,31.0,31.0
4->3,30,30,30.0,30.0
4->2,30,30,30.0,30.0
4->1,30,30,30.0,30.0
4->0,30,30,30.0,30.0
4->7,30,30,30.0,30.0
4->6,30,30,30.0,30.0
4->5,30,30,30.0,30.0
7->3,30,30,30.0,30.0
4->9,31,31,31.0,31.0
4->8,30,30,30.0,30.0
6->7,30,30,30.0,30.0
6->8,30,30,30.0,30.0
6->1,31,31,31.0,31.0
6->5,29,639,29.966800228963937,29.0
6->0,31,63,32.0,32.0
9->8,30,30,30.0,30.0
8->17,1,1,1.0,1.0
6->3,30,30,30.0,30.0
7->9,30,30,30.0,30.0
1->6,30,30,30.0,30.0
9->1,30,30,30.0,30.0
3->2,30,30,30.0,30.0
8->1,32,32,32.0,32.0
6->2,30,30,30.0,30.0
17->8,1,1,1.0,1.0
7->2,30,30,30.0,30.0
1->8,30,30,30.0,30.0
1->9,30,30,30.0,30.0
3->8,31,31,31.0,31.0
9->3,30,30,30.0,30.0
9->4,30,30,30.0,30.0
9->5,31,31,31.0,31.0
9->6,30,30,30.0,30.0
9->7,30,30,30.0,30.0
1->0,30,30,30.0,30.0
1->2,30,30,30.0,30.0
1->3,30,30,30.0,30.0
1->4,30,30,30.0,30.0
1->5,30,30,30.0,30.0
7->8,30,30,30.0,30.0
1->7,30,30,30.0,30.0
